English,ASL Gloss
Do you know any good jokes?, GOOD JOKE YOU KNOW ANY?
Matt Hamill is a Deaf wrestler. He won three NCAA National Championships a silver and gold medal in the Deaflympics and there is a movie about his life called "The Hammer.", M-A-T-T H-A-M-I-L-L HIMSELF DEAF WRESTLER. HE LIST ACCOMPLISHMENTS ONE-OF-THREE THREE N-C-A-A NATIONAL CHAMPIONSHIPS TWO-OF-THREE HE WON 1 SILVER MEDAL 1 GOLD MEDAL DEAFLYMPICS THREE-OF-THREE HAVE MOVIE ABOUT HIS LIFE QUOTE "T-H-E H-A-M-M-E-R".
My two cats look alike., MY TWO CATS LOOK ALIKE.
The baseball just barely missed me., BASEBALL BALL BARELY MISS ME WHIZZ-BY.
My daughter can climb a tree like a monkey., TREE CLIMB SAME-AS MONKEY MY DAUGHTER CAN.
Ludwig van Beethoven was a famous composer from Germany who became deaf. He was still able to create and play music., L-U-D-W-I-G V-A-N B-E-E-T-H-O-V-E-N HIMSELF FAMOUS COMPOSER FROM GERMANY HIS HEARING DETERIORATED. DIDN'T-MATTER HE STILL EXPERT CREATE MUSIC PLAY-PIANO.
My two sisters are total opposites!, MY TWO SISTERS TWO-OF-THEM OPPOSITE PERSONALITIES.
I want to play outdoors!, PLAY OUTDOORS I WANT!
I am allergic to peanuts., PEANUTS ALLERGIC I.
Can I look at your wedding photographs., YOUR WEDDING PHOTOGRAPHS LOOK-AT CAN I?
I like watching people play the piano., PIANO PEOPLE PLAY WATCH I ENJOY.
Phyllis Frelich was a deaf actress and famous for winning the 1980 Best Actress Tony Award for the play "Children of a Lesser God.", P-H-Y-L-L-I-S F-R-E-L-I-C-H HERSELF DEAF ACTRESS FAMOUS WHY? WIN T-O-N-Y AWARD FOR PLAY QUOTE "CHILDREN O-F A L-E-S-S-E-R GOD."
My plumber is short and bald., MY PLUMBER LOOK-LIKE WHAT? SHORT BALD
I am going to try to preserve my wedding gown., MY WEDDING DRESS I TRY PRESERVE.
Robert Davila served as the ninth president of Gallaudet University from 2007 to 2009. Prior to becoming the president of Gallaudet University he was the first Deaf CEO of the National Technical Institute for the Deaf., R-O-B-E-R-T D-A-V-I-L-A HE NINTH PRESIDENT GALLAUDET UNIVERSITY YEAR 2007 RANGE 2009 BEFORE THAT HE FIRST DEAF CEO ADMINISTRATOR N-T-I-D.
I enjoy carving Halloween pumpkins., HALLOWEEN PUMPKINS CARVE ENJOY I.
American Sign Language was recognized as a true language in 1965., YEAR 1965 ASL RECOGNIZED TRUE LANGUAGE.
My brother collects old records., OLD RECORDS MY BROTHER COLLECT COLLECT COLLECT.
My sister has red hair., MY SISTER COLOR HAIR WHAT? RED.
I'm sorry I didn't catch what you said. Can you please repeat yourself?, SORRY ME NOT UNDERSTAND YOU PLEASE REPEAT.
It is your right to a free and appropriate education., FREE APPROPRIATE EDUCATION YOU HAVE RIGHT.
Your answer is right., YOUR ANSWER RIGHT.
The bank near my house was robbed two times!, TWICE #BANK NEAR MY HOUSE ROB!
I run 25 miles every week., EVERY WEEK 25 M-I-L-E-S I RUN.
The security guard at the bank is scary looking., #BANK SECURITY GUARD LOOKS SCARY.
Don't forget to send your thank you cards!, THANK YOU CARDS DON'T FORGET SEND (SCOLD).
We had a very good server at the restaurant yesterday., YESTERDAY RESTAURANT I GO-TO (hit) GOOD SERVER.
Instead of prison my cousin John must do 300 hours of community service., INSTEAD PRISON MY COUSIN J-O-H-N MUST 300 HOURS COMMUNITY SERVICE.
I gave my mother a new sewing machine for her birthday., MY MOTHER BIRTHDAY NEW SEWING MACHINE I GAVE.
Dwayne "The Rock" Johnson is hard as a rock muscular and has a nice smile., D-W-A-Y-N-E QUOTE T-H-E R-O-C-K J-O-H-N-S-O-N HIMSELF HARD-AS-A-ROCK BIG-SHOULDERS PLUS NICE SMILE.
Sir John Cornforth was a deaf chemist who won the Nobel Prize in Chemistry in 1975., S-I-R J-O-H-N C-O-R-N-F-O-R-T-H HIMSELF DEAF CHEMIST YEAR 1975 HE WON N-O-B-E-L P-R-I-Z-E SPECIALIZED CHEMISTRY.
I need to go to the post office and buy more stamps., #PO I NEED GO WHY? BUY MORE STAMPS.
I have been under a lot of stress recently., LATELY STRESS ME.
I gave my sweetheart flowers., FLOWERS MY SWEETHEART I GIVE.
I enjoy using technology to help people., TECHNOLOGY I ENJOY USE WHY? HELP PEOPLE.
I can't believe how expensive my telephone was!, MY TELEPHONE EXPENSIVE I CAN'T BELIEVE!
Deaf people use a teletypewriter to communicate over the phone., DEAF PEOPLE COMMUNICATE THROUGH PHONE HOW? USE TELETYPEWRITER (#TTY).
My brother always finds good deals because he is thrifty., GOOD D-E-A-L-S MY BROTHER ALWAYS FIND WHY? HE THRIFTY.
My new puppy is not potty trained yet., MY NEW P-U-P-P-Y POTTY TRAINED NOT YET.
My vision is bad I need new glasses., NEW GLASSES I NEED WHY? MY VISION BAD.
It's raining outside so you should bring your umbrella., OUTSIDE RAINING UMBRELLA BRING YOU SHOULD.
Merry Christmas and a Happy New Year!, MERRY CHRISTMAS HAPPY NEW YEAR!
Many people in third world countries experience hunger., THIRD WORLD COUNTRIES MANY PEOPLE HUNGRY.
My sister is a very famous chef., MY SISTER WHAT? FAMOUS (emphasized) C-H-E-F.
Chemistry is my favorite class in school., SCHOOL MY FAVORITE CLASS WHAT? CHEMISTRY.
February is Black History Month., F-E-B BLACK HISTORY MONTH.
I want a can of pop., CAN POP I WANT.
My family went raspberry picking last weekend., LAST WEEKEND R-A-S-P-B-E-R-R-Y PICKING MY FAMILY GO.
Yesterday I accidentally left my bag in the grocery cart., YESTERDAY I ACCIDENTALLY LEFT MY BAG WHERE? FOOD-STORE CART.
My library has ASL story time every month., EVERY MONTH MY LIBRARY HAVE WHAT? A-S-L STORY TIME.
My uncle has a turkey farm., TURKEY FARM MY UNCLE HAS.
Do you want to build a snowman?, SNOWMAN YOU WANT BUILD?
I was the fourth person chosen for the soccer team., SOCCER TEAM ME FOURTH PERSON CHOSEN.
I love peanut butter with pretzels., PEANUT BUTTER WITH P-R-E-T-Z-E-L-S I LOVE.
My family goes to the strawberry farm every summer., EVERY SUMMER STRAWBERRY FARM MY FAMILY GOES-TO.
April showers bring May flowers., A-P-R-I-L RAIN M-A-Y FLOWERS GROW GROW GROW.
We planted a tree in the front yard yesterday., YESTERDAY FRONT Y-A-R-D TREE WE PLANT.
I am lucky to have a very big bathtub., BIG BATH T-U-B I HAVE LUCKY ME.
The heat is awful today I need to turn on the air conditioner!, TODAY HEAT AWFUL #AC TURN ON I NEED!
I have 10 different fish in my aquarium., MY A-Q-U-A-R-I-U-M 10 DIFFERENT DIFFERENT DIFFERENT DIFFERENT FISH I HAVE.
You should wear a tie to the business meeting., BUSINESS MEETING TIE YOU SHOULD WEAR.
I love to wear flip-flops in the summer., SUMMER FLIP-FLOP WEAR I LOVE.
I did not like visiting Washington D.C. because there was too much traffic., WASHINGTON D.C. VISIT I DIDN'T-LIKE WHY? TOO MUCH TRAFFIC.
We visited a lighthouse on our vacation last week., LAST WEEK OUR VACATION LIGHTHOUSE WE VISIT.
The list of school supplies included a box of crayons., SCHOOL S-U-P-P-L-Y LIST THIS BOX COLOR WRITE (crayons).
I really like to fish with my dad., FISHING WITH MY FATHER I ENJOY!
I love to read poetry every night before bed., EVERY NIGHT BEFORE BED POETRY I LOVE READ.
I had a conversation with my neighbor yesterday., YESTERDAY MY NEIGHBOR TWO-OF-US CONVERSATION.
My neighbor is nice., MY NEIGHBOR SHE NICE.
Florida is famous for having hurricanes., F-L-A FAMOUS WHAT? HURRICANES.
You are learning sign language., YOU LEARN WHAT? SIGN LANGUAGE.
Happy Valentine's Day!, HAPPY VALENTINE'S DAY!
Do you have a 20 dollar bill?, 20 DOLLAR YOU HAVE?
I need to eat a variety of vegetables., VARIETY #VEG (vegetables) EAT I NEED.
My grandmother bought me new underwear for Christmas., CHRISTMAS NEW UNDERWEAR MY GRANDMOTHER BOUGHT ME.
My great aunt was an American Indian., MY G-R-E-A-T AUNT HERSELF AMERICAN INDIAN.
We ate at an Italian restaurant for my birthday celebration., MY BIRTHDAY CELEBRATION EAT WHERE? ITALIAN RESTAURANT.
After my long vacation all of my plants had died., LONG VACATION FINISH HAPPEN WHAT? MY PLANT PLANT PLANT DIED.
Morris Broderson is a deaf painter. His artwork has been displayed many places such as at Gallaudet University NTID and the Guggenheim and Whitney Museums., M-O-R-R-I-S B-R-O-D-E-R-S-O-N HIMSELF DEAF PAINTER. HIS ART DISPLAYED MANY PLACES SAME-AS ONE-OF-FOUR GALLAUDET UNIVERSITY TWO-OF-FOUR N-T-I-D THREE-OF-FOUR G-U-G-G-E-N-H-E-I-M FOUR-OF-FOUR W-H-I-T-N-E-Y MUSEUMS.
I take my cell phone everywhere., MY CELL PHONE I BRING EVERYWHERE.
Do you know our national anthem?, OUR NATIONAL ANTHEM YOU KNOW?
May 31st is a day of remembrance for veterans., M-A-Y 31 WHAT? DAY REMEMBRANCE FOR V-E-T-E-R-A-N-S.
Keith Wann is a CODA and well-known ASL performer and comedian., K-E-I-T-H W-A-N-N HIMSELF C-O-D-A. HE FAMOUS A-S-L ACTOR AND COMEDIAN.
My dad writes with his right hand and throws with his left hand., MY DAD RIGHT HAND WRITE LEFT HAND THROW.
My mom teaches kindergarten., KINDERGARTEN MY MOM TEACH.
We learn about Abraham Lincoln today in history class., TODAY HISTORY CLASS WE LEARN ABOUT WHO? ABRAHAM LINCOLN.
CJ Jones is a famous Deaf actor and comedian. He says "Anything is possible. Success has nothing to do with being deaf or black or any disability. It has to do with your passion to do greater things in life!", C-J J-O-N-E-S HIMSELF FAMOUS DEAF ACTOR AND COMEDIAN. HE SAYS QUOTE ANYTHING POSSIBLE! NOTHING RELATED-TO DEAF BLACK DISABLED. ABOUT HAVING PASSION DO WONDERFUL THINGS LIFE.
My friend and I like to swap good books with each other., GOOD BOOKS MY FRIEND TWO-OF-US LIKE TO SWAP.
Roy Holcomb was a deaf teacher who coined the term total communication., R-O-Y H-O-L-C-O-M-B HE DEAF TEACHER INVENTED TERM T-O-T-A-L C-O-M-M-U-N-I-C-A-T-I-O-N TOTAL COMMUNICATION.
It is important that you vote for the new U.S. President., NEW U-S PRESIDENT IMPORTANT YOU VOTE.
My best friend lives in California., MY BEST FRIEND LIVES WHERE? CALIFORNIA
Heather Whitestone was the first deaf person to be crowned as Miss America in 1995., YEAR 1995 H-E-A-T-H-E-R W-H-I-T-E-S-T-O-N-E SHE FIRST DEAF PERSON CROWN M-I-S-S AMERICA.
My grandparents live in The Villages in Florida in the winter., DURING WINTER MY GRANDPARENTS LIVE WHERE? T-H-E V-I-L-L-A-G-E-S VILLAGES F-L-A.
Thomas H. Gallaudet was a minister educator and co-founded the first school for the deaf called the American School for the Deaf in Hartford Connecticut. Gallaudet University was named in honor of him in 1894., T-H-O-M-A-S H. G-A-L-L-A-U-D-E-T HIMSELF MINISTER TEACHER HE CO- FOUNDED FIRST RESIDENTIAL SCHOOL U-S CALLED AMERICAN SCHOOL DEAF A-S-D WHERE? HARTFORD C-O-N-N. YEAR 1894 GALLAUDET COLLEGE NAMED AFTER HIM.
I am the vice president of my tennis club., MY TENNIS C-L-U-B I VICE PRESIDENT.
I made a pledge to my family to exercise more., MY FAMILY PLEDGE ME WHAT? EXERCISE MORE WILL I.
My daughter joined the Coast Guard last month., LAST MONTH C-O-A-S-T G-U-A-R-D MY DAUGHTER JOIN.
My son volunteers every week at the animal shelter., EVERY WEEK ANIMAL S-H-E-L-T-E-R MY SON VOLUNTEER.
There are too many mosquitos when I camp in the wilderness., WILDERNESS I CAMP TOO MANY MOSQUITOS.
My sister is such an amazing athlete she plays soccer and basketball., MY SISTER AMAZING ATHLETE SOCCER BASKETBALL SHE PLAYS.
What tool do I need to fix the bike seat?, BIKE SEAT #FIX WHICH T-O-O-L I NEED?
What kind of soft drink would you like - Coke or Pepsi?, SOFT DRINK WHICH YOU PREFER? #COKE PEPSI WHICH?
Don't forget to put a stamp on the envelope., ENVELOPE STAMP DON'T FORGET.
I hate pirate movies!, P-I-R-A-T-E MOVIES I HATE!
My brother fell off his skateboard and broke his wrist., SKATEBOARD MY BROTHER FALL WRIST BROKE.
Rush Limbaugh is a radio host. He is deaf but uses cochlear implants to hear., R-U-S-H L-I-M-B-A-U-G-H HIMSELF RADIO HOST. HE DEAF BUT HAVE COCHLEAR IMPLANT.
I lost a sock in the laundry., LAUNDRY SOCK LOST I.
United States of America became independent from Great Britain in 1784 after the ratification of the Treaty of Paris., YEAR 1784 AMERICA BECAME INDEPENDENT FROM BRITAIN FINISH RATIFICATION T-R-E-A-T-Y O-F P-A-R-I-S.
I love books so growing up I always wanted to become a librarian., GROW-UP ME ALWAYS WANT BECOME LIBRARIAN WHY? ME LOVE BOOKS.
Happy New Year!, HAPPY NEW YEAR!
My father has Alzheimer's disease., A-L-Z DISEASE MY FATHER HAS.
I play tennis every Friday with 3 women., EVERY FRIDAY TENNIS I PLAY WITH 3 WOMEN.
My grandparents made a great couple., MY GRANDPARENTS WONDERFUL TWO-OF-THEM (couple).
I could eat pasta for breakfast lunch and dinner., BREAKFAST LUNCH DINNER PASTA EAT I COULD.
I love eating pretzels dipped in chocolate., P-R-E-T-Z-E-L-S CHOCOLATE DIPPED I LOVE EAT.
I want cupcakes for my birthday not a cake., MY BIRTHDAY C-U-P-C-A-K-E-S I WANT NOT CAKE.
The police caught the thief hiding in his car., THIEF POLICE CAUGHT WHERE? HIDING IN HIS CAR.
I will go to three graduation parties in June., J-U-N-E THREE GRADUATION PARTIES GO-TO GO-TO GO-TO I WILL.
My favorite website is SigningSavvy.com., MY FAVORITE W-E-B-S-I-T-E WHAT? S-I-G-N-I-N-G S-A-V-V-Y DOT COM.
Mother's Day is on Sunday., SUNDAY MOTHER'S DAY.
Today is Fathers Day!, TODAY WHAT? FATHERS DAY!
Independence Day is July 4th., JULY 4TH INDEPENDENCE DAY.
I like to eat my donuts with coffee., MY DONUTS I LIKE EAT WITH COFFEE.
I reached for the pitcher on the top shelf., PITCHER TOP SHELF I REACHED.
Please wash your hands before dinner., BEFORE DINNER WASH HANDS PLEASE.
My family always has a picnic on Memorial Day., MEMORIAL DAY PICNIC MY FAMILY ALWAYS HOST.
I like to watch the movie "Elf" on Christmas Eve., CHRISTMAS E-V-E MOVIE QUOTE E-L-F WATCH I LIKE.
Labor Day means summer is over., LABOR DAY MEANS WHAT? SUMMER ENDS.
Today is April Fools' Day., TODAY WHAT? A-P-R-I-L F-O-O-L-S DAY.
I hate shopping on Black Friday., BLACK FRIDAY SHOPPING I HATE.
I always eat Mexican food on Cinco De Mayo., C-I-N-C-O D-E M-A-Y-O EAT MEXICAN FOOD I ALWAYS.
I enjoy shopping on Cyber Monday., C-Y-B-E-R MONDAY SHOPPING I ENJOY.
My school celebrates Earth Day by planting trees., EARTH DAY MY SCHOOL CELEBRATE HOW? PLANT TREES.
We remember 9/11 on Patriot Day., PATRIOT DAY WE DO WHAT? 9/11 REMEMBRANCE.
Are you going to the Veteran's Day parade?, V-E-T-E-R-A-N-S DAY PARADE YOU GO?
Are you going to a party on New Year's Eve?, NEW YEARS E-V-E PARTY YOU GO?
Flag Day honors our flag., FLAG DAY MEANS WHAT? HONOR OUR FLAG.
On Election Day many schools close., ELECTION DAY MANY SCHOOLS CLOSE.
Is your school closed for Martin Luther King Jr. Day?, M-L-K DAY YOUR SCHOOL CLOSED?
President's Day is in February., PRESIDENT'S DAY WHEN? F-E-B.
I always drink green beer on St. Patrick's Day., ST. PATRICK'S DAY GREEN BEER I DRINK ALWAYS.
I have six siblings and I am the oldest., SIX SIBLINGS I HAVE ME OLDEST.
We planted the corn field., FIELD C-O-R-N WE PLANT PLANT PLANT.
I like brown sugar on my sweet potato., MY SWEET POTATO BROWN SUGAR SPRINKLE I LIKE.
September is National Blueberry Popsicle Month., NATIONAL BLUEBERRY POPSICLE MONTH WHEN? S-E-P-T.
The coach encouraged me to join the basketball team., BASKETBALL TEAM COACH ENCOURAGED ME JOIN.
I wish we had more healthy school lunch options., MORE HEALTHY SCHOOL LUNCH OPTIONS I WISH WE HAD.
I will visit my friend for two days., TWO DAYS MY FRIEND VISIT I WILL.
Growing up we ate lasagna every Friday night., GROW UP EVERY FRIDAY NIGHT LASAGNA WE ATE.
Columbus Day is in October., COLUMBUS DAY WHEN? O-C-T.
Don't forget time springs forward in the Spring and falls back in the Fall., SPRING TIME SPRINGS FORWARD FALL TIME FALLS BACK DON'T FORGET.
In the fall we have to set our clocks to fall back one hour., FALL TIME ONE HOUR FALL BACK.
I saw a fancy gingerbread house on my cruise last Christmas., LAST CHRISTMAS MY CRUISE FANCY G-I-N-G-E-R-B-R-E-A-D HOUSE I SAW.
My favorite movie is "Groundhog Day.", MY FAVORITE MOVIE WHAT? QUOTE G-R-O-U-N-D-H-O-G DAY.
I'm afraid to go to the library because the librarian is a grouch., LIBRARY GO-TO AFRAID ME WHY? LIBRARIAN SHE GROUCH.
I didn't like the pink socks I got so I regifted them to my brother., PINK SOCKS I GOT DIDN'T LIKE. DO-DO? MY BROTHER I R-E GIFT.
Laurent Clerc is one of the founders of the first school for the deaf here in America., LAURENT CLERC WHO? ONE FOUNDER FIRST DEAF SCHOOL HERE AMERICA.
Our mailman is friendly., OUR MAILMAN FRIENDLY.
My son will go camping with the Boy Scouts next month., NEXT MONTH CAMPING WITH BOY SCOUTS MY SON GO-TO.
Leap Year happens every 4 years., EVERY 4 YEARS L-E-A-P YEAR HAPPEN.
Your team lost get over it!, YOUR TEAM LOST GET OVER IT!
Which Girl Scout cookie is your favorite?, GIRL SCOUT COOKIE YOUR FAVORITE WHICH?
Don't goof off in class!, CLASS PLAY-AROUND (goof off) FINISH!
I was a high school cheerleader for 4 years., 4 YEARS HIGH SCHOOL CHEERLEADER I.
I need to backup my computer., MY COMPUTER FILES SAVE BACKUP I NEED.
I bought a new bikini for spring break., SPRING BREAK NEW BIKINI BOUGHT I.
Can I offer you a refreshment?, REFRESHMENT CAN I OFFER YOU?
The weatherman in Florida has an easy job the forecast is the same everyday - sunny with possible rain., WEATHER PERSON F-L-A EASY #JOB EVERYDAY FORECAST SAME-SAME SUN POSSIBLE RAIN.
The receptionist at my doctor's office is not friendly., MY DOCTOR OFFICE RECEPTIONIST NOT FRIENDLY.
My aunt and uncle live in Chicago., CHICAGO MY AUNT UNCLE LIVE THERE.
Both my son and daughter have red hair., RED HAIR MY SON MY DAUGHTER BOTH HAVE.
The ampersand is a shortcut for the word and., A-M-P-E-R-S-A-N-D SHORTCUT FOR WHAT? WORD A-N-D.
Do you use google.com?, G-O-O-G-L-E DOT C-O-M YOU USE?
This year I took my boyfriend out to eat on Sweetest Day., THIS YEAR S-W-E-E-T-E-S-T DAY MY BOYFRIEND I TOOK OUT EAT.
Deaf Awareness Week is in September., DEAF AWARENESS WEEK WHEN? S-E-P-T.
I eat macaroni and cheese with broccoli every week., EVERY WEEK M-A-C AND CHEESE WITH B-R-O-C-C-O-L-I EAT I.
Hot cocoa is my favorite bedtime treat., MY FAVORITE BEDTIME T-R-E-A-T WHAT? HOT COCOA.
Next week we're hosting a special dinner for all employees and their spouses., NEXT WEEK WE TAKE-UP (HOST) SPECIAL DINNER FOR ALL-OF-THEM WORKERS AND SPOUSES.
Sean Forbes is a deaf hip-hop artist who makes music accessible to the deaf community., S-E-A-N F-O-R-B-E-S HIMSELF DEAF H-I-P H-O-P MUSICIAN HE MAKES MUSIC ACCESSIBLE FOR DEAF COMMUNITY.
I try not to eat fast food., FAST FOOD I TRY NOT EAT.
My Bachelor's degree is in Special Education., MY #BA DEGREE WHAT? SPECIAL EDUCATION.
If you want to clarify your goals you need to form a vision first., YOU WANT CLARIFY YOUR GOALS HOW? FIRST FORM VISION.
My favorite science fiction movie is "Star Wars.", MY FAVORITE SCIENCE F-I-C-T-I-O-N MOVIE WHAT? QUOTE "STAR WARS"
The pharmacist answers questions about medications., PHARMACIST DO-DO? ANSWER QUESTIONS ABOUT MEDICINE.
My mentor has helped me a lot., MY MENTOR HELP-ME A LOT.
I donate blood every three months., EVERY THREE MONTHS BLOOD I DONATE.
It is important to unplug your electronics when you go on vacation., TIME GO VACATION IMPORTANT UNPLUG YOUR ELECTRONICS.
There was a famous protest at Gallaudet University in 1988 called Deaf President Now., BACK YEAR 1988 GALLAUDET UNIVERSITY HAPPEN WHAT? FAMOUS PROTEST CALLED DEAF PRESIDENT NOW.
Laughter is good for your mental health., LAUGH GOOD FOR YOUR MENTAL HEALTH.
I like to cuddle up with my cat., MY CAT I LIKE CUDDLE.
Deaf history includes the history of deaf people and their culture., DEAF HISTORY INCLUDE WHAT? HISTORY AND CULTURE.
Hawaii is a great place to go surfing., GREAT PLACE SURF WHERE? HAWAII.
Ashley Fiolek is a Deaf Motocross Racer. She started motorcycling when she was three years old. She won four Woman Motocross Championships in 2008 2009 2011 2012. She is now retired., A-S-H-L-E-Y F-I-O-L-E-K SHE DEAF M-O-T-O-C-R-O-S-S MOTORCYCLE RACER. SHE OLD THREE STARTED MOTORCYCLING. GROW-UP WON FOUR WOMEN M-O-T-O-C-R-O-S-S CHAMPIONSHIPS ONE-OF-FOUR 2008 TWO-OF-FOUR 2009 THREE-OF-FOUR 2011 FOUR-OF-FOUR 2012. NOW RETIRED.
Pizza and movie night is every Friday., EVERY FRIDAY NIGHT WHAT? PIZZA MOVIE.
Alexander Graham Bell was a famous inventor who was involved in deaf education but ironically he did not support the use of American Sign Language., A-G-B HIMSELF FAMOUS INVENTOR INVOLVED DEAF EDUCATION BUT IRONICALLY HE NOT SUPPORT A-S-L.
Douglas Tilden is a famous deaf sculptor and has many statues that he created in California., D-O-U-G-L-A-S T-I-L-D-E-N HIMSELF FAMOUS DEAF SCULPTOR CALIFORNIA HAS MANY HIS STATUES ALL OVER (classifier).
Curtis Pride is deaf and was a baseball player. He played for many teams such as the Detroit Tigers Atlanta Braves and New York Yankees. He is currently the coach for the Gallaudet University baseball team., C-U-R-T-I-S P-R-I-D-E HIMSELF DEAF BASEBALL PLAYER. HE USED-TO PLAY DIFFERENT DIFFERENT DIFFERENT TEAMS ONE-OF-THREE DETROIT T-I-G-E-R-S TWO-OF-THREE ATLANTA B-R-A-V-E-S THREE-OF-THREE NEW YORK Y-A-N-K-E-E-S. NOW HE COACH GALLAUDET UNIVERSITY BASEBALL TEAM.
Betty G. Miller was the first deaf woman to graduate from Gallaudet University with a PhD degree in art. She was a famous artist who focused on the deaf perspective., B-E-T-T-Y G M-I-L-L-E-R SHE FIRST DEAF WOMAN GRADUATE GALLAUDET RECEIVE #PHD DEGREE WHAT? ART. SHE FAMOUS ARTIST WHY? SHE FOCUS DEAF VIEW.
Do you want to join our bowling league?, OUR BOWLING L-E-A-G-U-E JOIN-US YOU WANT?
Lou Ferrigno is hard of hearing and is a motivational speaker who shares his life experiences. He's been in many movies and TV shows but is most famous for playing The Incredible Hulk., L-O-U F-E-R-R-I-G-N-O HIMSELF HARD OF HEARING MOTIVATIONAL SPEAKER ABOUT HIS CUMULATIVE EXPERIENCES. HE ACT MANY MOVIES #TV PROGRAMS BUT MOST FAMOUS ROLE WHAT? T-H-E I-N-C-R-E-D-I-B-L-E H-U-L-K.
Howie Seago is an deaf actor and director. He is famous for many roles including acting on Star Trek., H-O-W-I-E S-E-A-G-O HIMSELF DEAF ACTOR DIRECTOR. HE FAMOUS MANY ROLES INCLUDING #TV PROGRAM S-T-A-R T-R-E-K.
After retirement in 10 years I plan to move to Florida., FUTURE 10 YEARS I RETIRE DO-DO? MOVE F-L-A.
Chuck Baird was an artist and founder of the De'VIA art movement which conveys a Deaf world viewpoint through art., C-H-U-C-K B-A-I-R-D HIMSELF DEAF ARTIST HE FOUNDED D-E V-I-A MEANS WHAT? SHOW-ALL (conveys) DEAF WORLD VIEWPOINT THROUGH ART.
Shelley Beattie was a deaf professional weightlifter who became famous after being on the TV show American Gladiators., S-H-E-L-L-E-Y B-E-A-T-T-I-E HERSELF DEAF P-R-O WEIGHTLIFTER. SHE BECAME FAMOUS WHY? SHE INVOLVED #TV PROGRAM AMERICAN G-L-A-D-I-A-T-O-R-S.
If you brush your teeth everyday you won't have bad breath., IF EVERYDAY BRUSH-TEETH BAD BREATH YOU NOT HAVE.
Hello how are you?, HI. HOW YOU?
How are you?, HOW YOU?
How have you been?, UP TILL NOW HOW YOU?
I'm lousy., I FEEL LOUSY.
I have been busy., I BUSY BUSY BUSY.
Hello what have you been up to?, HI. WHAT'S UP?
What have you been up to?, WHAT'S UP?
I'm glad to see you., ME HAPPY SEE YOU.
It's good to see you., GOOD SEE YOU.
I haven't seen you for a long time., SEE NO LONG.
How was your day?, HOW YOUR DAY?
Was your day good?, YOUR DAY GOOD?
What did you do today?, TODAY YOU DO-DO?
I went to school., SCHOOL I WENT.
I worked all day., ALL DAY WORK ME.
I cleaned the house and did the laundry., HOUSE CLEAN LAUNDRY ME.
I watched TV., TV WATCH ME.
How are you feeling?, HOW YOU FEEL?
I don't feel well I have a cold., I NOT FEEL GOOD I HAVE COLD.
I feel great! Thank you for asking., I FEEL GREAT! THANK YOU ASK-ME.
I feel so so I have a headache., SO-SO HEADACHE I HAVE.
What did you do in school?, SCHOOL YOU DO-DO?
What did you learn in school?, YOU LEARN WHAT?
Math English Social Studies Science., MATH ENGLISH SOCIAL STUDIES SCIENCE.
Art Gym Student Council Yearbook., ART GYM STUDENT COUNCIL YEARBOOK.
What's the weather like today?, TODAY WEATHER WHAT?
It's sunny., SUNNY.
It's raining., RAIN.
It's clear outside., CLEAR.
Snowing., SNOW.
It's windy., WINDY.
It's cold., COLD.
It's hot., HOT.
It's warm., WARM.
I think it is supposed to rain all week., ALL WEEK SUPPOSED-TO RAIN I THINK.
What is the temperature outside?, TEMPERATURE OUTSIDE WHAT?
It's 73 degrees., DEGREE 73.
It's 22 degrees., DEGREE 22.
It's -5 degrees., DEGREE NEGATIVE 5.
Are you taking a sign language class?, SIGN LANGUAGE CLASS TAKE-UP YOU?
Yes I'm taking a sign language class., YES SIGN LANGUAGE CLASS TAKE I.
No I'm not taking a sign language class., NO SIGN LANGUAGE CLASS I NOT TAKE.
No I am not taking a sign language class now but I will take a class next semester., SIGN LANGUAGE CLASS I NOT TAKE NOW BUT NEXT SEMESTER CLASS TAKE I.
Where are you taking class at?, CLASS YOU TAKE WHERE?
I am taking class at Chicago Community College., I TAKE-UP CLASS CHICAGO COMMUNITY COLLEGE.
I am taking an online class., ONLINE CLASS I TAKE-UP.
I am taking a class at my local library., CLASS I TAKE-UP WHERE? MY LOCAL LIBRARY.
Is your teacher deaf or hearing?, YOUR TEACHER DEAF HEARING WHICH?
My teacher is deaf., MY TEACHER DEAF.
My teacher is hearing but is a CODA., MY TEACHER HEARING BUT HERSELF CODA.
My teacher is hard of hearing., MY TEACHER HARD-OF-HEARING.
Why are you taking a sign language class?, SIGN LANGUAGE CLASS YOU TAKE-UP WHY?
I am taking the class because I want to be an interpreter., CLASS I TAKE-UP WHY? I WANT BECOME INTERPRETER.
I am taking the class so I can communicate with my deaf friends., CLASS I TAKE-UP WHY? I WANT COMMUNICATE WITH DEAF FRIENDS.
I am taking the class for fun. I like to learn new languages., CLASS I TAKE-UP FOR #FUN. NEW LANGUAGES LEARN I LIKE.
What is your name?, YOUR NAME WHAT?
My name is Brenda Cartwright. My name sign is BC (sign name)., MY NAME B-R-E-N-D-A C-A-R-T-W-R-I-G-H-T. MY NAME SIGN BC (sign name).
Where do you live?, YOU LIVE WHERE?
I live in Michigan., I LIVE #MICH.
I live in Detroit., I LIVE DETROIT.
I live in Washington D.C., I LIVE WASHINGTON D.C.
Where are you from?, YOU FROM WHERE?
I'm from Michigan., I FROM #MICH.
I am from Miami Florida., I FROM MIAMI #FLA.
I am from Los Angeles California., FROM #LA CALIFORNIA.
